zip,date
91730,2026-02-03
72650,2026-02-03
32073,2026-02-03
70549,2026-02-03
41141,2026-02-03
40515,2026-02-03
02814,2026-02-03
92054,2026-02-03
10003,2026-02-03
37064,2026-02-03
24019,2026-02-03
95382,2026-02-03
34207,2026-02-03
32828,2026-02-03
22031,2026-02-03
60120,2026-02-03
48089,2026-02-03
77386,2026-02-03
63033,2026-02-03
32570,2026-02-03
54650,2026-02-03
92335,2026-02-03
68104,2026-02-03
73430,2026-02-03
23927,2026-02-03
28713,2026-02-03
53202,2026-02-03
89123,2026-02-03
17201,2026-02-03
32569,2026-02-03
30281,2026-02-03
52003,2026-02-03
31719,2026-02-03
77005,2026-02-03
90044,2026-02-03
71360,2026-02-03
19143,2026-02-03
76112,2026-02-03
28166,2026-02-03
44460,2026-02-03
70125,2026-02-03
06811,2026-02-03
49201,2026-02-03
28037,2026-02-03
33407,2026-02-03
11749,2026-02-03
35601,2026-02-03
93505,2026-02-03
83854,2026-02-03
77023,2026-02-03
90650,2026-02-03
60195,2026-02-03
48085,2026-02-03
43128,2026-02-03
37180,2026-02-03
29223,2026-02-03
48207,2026-02-03
92806,2026-02-03
78003,2026-02-03
89117,2026-02-03
28787,2026-02-03
55427,2026-02-03
44483,2026-02-03
95624,2026-02-03
44720,2026-02-03
85338,2026-02-03
10026,2026-02-03
39574,2026-02-03
94806,2026-02-03
14626,2026-02-03
30016,2026-02-03
23009,2026-02-03
83616,2026-02-03
33129,2026-02-03
91745,2026-02-03
86005,2026-02-03
98422,2026-02-03
11228,2026-02-03
36111,2026-02-03
95605,2026-02-03
92126,2026-02-03
85206,2026-02-03
95212,2026-02-03
71433,2026-02-03
77396,2026-02-03
32208,2026-02-03
85286,2026-02-03
50501,2026-02-03
50314,2026-02-03
55318,2026-02-03
39503,2026-02-03
32503,2026-02-03
16232,2026-02-03
85396,2026-02-03
01109,2026-02-03
99362,2026-02-03
77498,2026-02-03
75067,2026-02-03
00727,2026-02-03
78574,2026-02-03
95382,2026-02-03
45662,2026-02-03
92127,2026-02-03
37218,2026-02-03
37914,2026-02-03
98204,2026-02-03
80020,2026-02-03
79928,2026-02-03
33128,2026-02-03
10023,2026-02-03
89131,2026-02-03
98031,2026-02-03
27712,2026-02-03
22553,2026-02-03
33180,2026-02-03
78224,2026-02-03
34222,2026-02-03
80016,2026-02-03
22401,2026-02-03
60621,2026-02-03
21915,2026-02-03
00627,2026-02-03
75092,2026-02-03
76177,2026-02-03
30310,2026-02-03
19083,2026-02-03
06118,2026-02-03
95451,2026-02-03
35805,2026-02-03
07065,2026-02-03
97210,2026-02-03
14125,2026-02-03
75686,2026-02-03
18109,2026-02-03
28277,2026-02-03
92394,2026-02-03
27263,2026-02-03
20814,2026-02-03
35476,2026-02-03
07480,2026-02-03
95628,2026-02-03
75935,2026-02-03
61491,2026-02-03
81611,2026-02-03
90303,2026-02-03
36116,2026-02-03
90808,2026-02-03
37725,2026-02-03
45133,2026-02-03
77084,2026-02-03
21108,2026-02-03
19145,2026-02-03
59063,2026-02-03
32162,2026-02-03
24521,2026-02-03
37172,2026-02-03
77018,2026-02-03
08807,2026-02-03
18103,2026-02-03
55438,2026-02-03
02048,2026-02-03
35216,2026-02-03
91708,2026-02-03
49316,2026-02-03
02777,2026-02-03
27107,2026-02-03
11211,2026-02-03
29102,2026-02-03
77017,2026-02-03
28590,2026-02-03
35242,2026-02-03
83706,2026-02-03
92130,2026-02-03
